Id,Label,Attribut,Kernwort,Bedeutung,Autor:in,Jahr,Jahrhundert
Berge und Thäler kommen nicht zusammen!,Berge und Thäler kommen nicht zusammen!,Metapher,zusammen,Gegensätzliche Charaktere verstehen sich nicht und sollten darum auch nicht lokal aufeinander treffen,,,
Blüthenhaine einer regellosen Phantasie,Blüthenhaine einer regellosen Phantasie,Metapher,Blüthenhaine,sehr fantasievoll,,,
Boden,Boden,Metapher,Boden,Grundlage,,,
Boden der Tradition,Boden der Tradition,Metapher,Boden,traditionelle Grundlagen,,,
Bodensatz der Gesellschaft,Bodensatz der Gesellschaft,Metapher,Bodensatz,als schlecht angesehene Menschen,,,
"da aber wahre Größe und wahrer Ruhm gleich dem Glücke den am meisten zu fliehen scheinen, der sie dann schon erhaschen will, bevor er ihre feinen, reinen Gestalten von dem Dunst und Nebel absondert, den der Wahn um sie gezogen, so umarmte er nur zu oft eine Wolke für die Gemahlin des Donnerers","da aber wahre Größe und wahrer Ruhm gleich dem Glücke den am meisten zu fliehen scheinen, der sie dann schon erhaschen will, bevor er ihre feinen, reinen Gestalten von dem Dunst und Nebel absondert, den der Wahn um sie gezogen, so umarmte er nur zu oft eine Wolke für die Gemahlin des Donnerers",Metapher,fliehen,Er fand keinen wahren Ruhm und keine wahre Größe,,,
da fuhr bei uns zur Nachtzeit das wilde Heer des Gottes durch die Luft,da fuhr bei uns zur Nachtzeit das wilde Heer des Gottes durch die Luft,Metapher,Luft,übernatürliche Erklärung eines Kriegsgeschehens,,,
Das Feld behalten,Das Feld behalten,Metapher,Feld,siegen,,,
das Feld seiner Liebhabereien,das Feld seiner Liebhabereien,Metapher,Feld,seine Hobbies betreffen,,,
das ganze Wolkengewölbe unter seiner eignen Last zusammenbricht mit Donnerkrachen und die Wolkentrümmer aneinander in ungezählte Tropfentrümmerchen zersplittern,das ganze Wolkengewölbe unter seiner eignen Last zusammenbricht mit Donnerkrachen und die Wolkentrümmer aneinander in ungezählte Tropfentrümmerchen zersplittern,Metapher,zusammenbrechen,es beginnt zu regnen,,,
Das Herz des Stolzen schlägt den Sanftern nieder,Das Herz des Stolzen schlägt den Sanftern nieder,Metapher,niederschlagen,der Stolze triumphiert über den Sanften,,,
das Herz geht jemandem auf,das Herz geht jemandem auf,Metapher,Herz,glücklich sein,,,
Das Herz ist eine unüberwindliche Festung,Das Herz ist eine unüberwindliche Festung,Metapher,Festung,etwas lässt einen kalt,,,
das Herz schlägt die Brust entzwei,das Herz schlägt die Brust entzwei,Metapher,entzwei,sehr starkes Herzklopfen haben,,,
das Herz vor jemandem ausschütten,das Herz vor jemandem ausschütten,Metapher,Herz,jemandem von seinen Sorgen berichten,,,
Das Meer von Gefühlen,Das Meer von Gefühlen,Metapher,Meer,viele Gefühle,,,
das überfließende Herz eröffnen,das überfließende Herz eröffnen,Metapher,überfließen,jemandem freimütig von sich erzählen,,,
"daß um alltägliche Handlungen, um gewöhnliche Worte ein[19] reizender Schmelz gehaucht war, wie er auf frischgepflückten Früchten liegt","daß um alltägliche Handlungen, um gewöhnliche Worte ein[19] reizender Schmelz gehaucht war, wie er auf frischgepflückten Früchten liegt",Metapher,Schmelz,ihr Wesen gibt ihren Worten und Taten etwas Besonderes,,,
"Daumen-, Zeige- und Mittelfinger eines Werkes","Daumen-, Zeige- und Mittelfinger eines Werkes",Metapher,Finger,"Daumen-, Zeige- und Mittelfinger eines Werkes",,,
Dem Ziele unserer Wallfahrt sich nähern,Dem Ziele unserer Wallfahrt sich nähern,Metapher,Wallfahrt,sterben,,,
Den Arm von etwas auf sich lenken,Den Arm von etwas auf sich lenken,Metapher,lenken,anecken oder etwas unrechtes tun,,,
den Banden der Menschheit entrissen,den Banden der Menschheit entrissen,Metapher,entrissen,von der Gesellschaft ausgeschlossen,,,
den eigenen Namen für eine handvoll tauber Nüsse hingeben,den eigenen Namen für eine handvoll tauber Nüsse hingeben,Metapher,hingeben,die eigenen Prinzipien sehr schnell verwerfen,,,
den Kopf verrücken,den Kopf verrücken,Metapher,Kopf,verwirren,,,
den Kürzeren ziehen,den Kürzeren ziehen,Metapher,Kürzeren,verlieren,,,
den lügnerischen Spiegel in hochauflösende Atome zerstampfen,den lügnerischen Spiegel in hochauflösende Atome zerstampfen,Metapher,Spiegel,mit Wasser spritzen,,,
den Nacken unter ein Joch beugen,den Nacken unter ein Joch beugen,Metapher,Joch,einen inakzeptablen Zustand annehmen,,,
den Orion bewohnen,den Orion bewohnen,Metapher,Orion,in einer Fantasiewelt leben,,,
den Pflug über das trotzige Herz gehen lassen,den Pflug über das trotzige Herz gehen lassen,Metapher,Pflug,sich von Gefühlsreaktionen befreien,,,
den Regenbogen bewohnen,den Regenbogen bewohnen,Metapher,Regenbogen,in einer Fantasiewelt leben,,,
den Schlüssel zu einer sonst verschlossenen Tür haben,den Schlüssel zu einer sonst verschlossenen Tür haben,Metapher,Schlüssel,"etwas erkennen, das nicht leicht zu sehen ist",,,
den Weg verfehlen,den Weg verfehlen,Metapher,Weg,scheitern,,,
denen mein Herz und meine Seele auf dem halben Weg entgegen kamen,denen mein Herz und meine Seele auf dem halben Weg entgegen kamen,Metapher,entgegen,dargelegte Grundsätze werden im Vorhinein schon fast geteilt,,,
"der Adel seiner Seele leuchtete aus seiner ganzen Bildung, und aus allen seinen Geberden hervor","der Adel seiner Seele leuchtete aus seiner ganzen Bildung, und aus allen seinen Geberden hervor",Metapher,hervorleuchten,er war sehr edel,,,
der Fesseln entledigt sein,der Fesseln entledigt sein,Metapher,Fesseln,frei sein,,,
der Künstler sieht den Finger Gottes aus den toten Farben wachsen,der Künstler sieht den Finger Gottes aus den toten Farben wachsen,Metapher,Finger,Künstler erkennen das Göttliche in ihren Motiven,,,
der Luxus breitet seine verderblichen Fittiche aus,der Luxus breitet seine verderblichen Fittiche aus,Metapher,Fittiche,Luxus verbreitet sich,,,
Der Mond stellte sich auf die Zehen und sah zwischen ihnen hindurch auf die nasse Straße herab.,Der Mond stellte sich auf die Zehen und sah zwischen ihnen hindurch auf die nasse Straße herab.,Metapher,hindurchsehen,der Mond steht zwischen den Wolken,,,
Der Quell der Befriedigung fließt für jeden,Der Quell der Befriedigung fließt für jeden,Metapher,Quelle,jeder kann glücklich sein,,,
Der Schande ein hübsches Mäntelchen umhängen,Der Schande ein hübsches Mäntelchen umhängen,Metapher,Mantel,eine unangenehme Warheit durch einen Euphemismus tarnen,,,
"der Standpunkt, den jemand eingenommen hat","der Standpunkt, den jemand eingenommen hat",Metapher,Standpunkt,"die Meinung, die jamend hat",,,
"der Vater ein Pflänzchen, der Sohn ein Baum","der Vater ein Pflänzchen, der Sohn ein Baum",Metapher,Baum,aus dem Sohn ist mehr geworden als aus dem Vater,,,
der Weg zur Gelehrsamkeit zu gelangen,der Weg zur Gelehrsamkeit zu gelangen,Metapher,Weg,Gelehrter werden,,,
dicke Finsternis durchbrechen,dicke Finsternis durchbrechen,Metapher,durchbrechen,Erkenntnis finden,,,
die aus dem Becher der Zeit so hell und funkelnd hinabgetropft waren in das Meer der Ewigkeit,die aus dem Becher der Zeit so hell und funkelnd hinabgetropft waren in das Meer der Ewigkeit,Metapher,Becher,Erinnerung an schöne Momente,,,
die Bahn bis zum Anfang zurückzumessen,die Bahn bis zum Anfang zurückzumessen,Metapher,Bahn,über sein bisheriges Leben nachdenken,,,
"Die exzentrische Bahn, die der Mensch, im Allgemeinen und Einzelnen, von einem Punkte (der mehr oder weniger reinen Einfalt) zum andern (der mehr oder weniger vollendeten Bildung) durchläuft, scheint sich, nach ihren wesentlichen Richtungen, immer gleich zu sein","Die exzentrische Bahn, die der Mensch, im Allgemeinen und Einzelnen, von einem Punkte (der mehr oder weniger reinen Einfalt) zum andern (der mehr oder weniger vollendeten Bildung) durchläuft, scheint sich, nach ihren wesentlichen Richtungen, immer gleich zu sein",Metapher,,Die Lebensführung der Menschen ähnelt sich oft,,,
die felsenharte Unmöglichkeit entgegengestellt bekommen,die felsenharte Unmöglichkeit entgegengestellt bekommen,Metapher,felsenhart,"damit konfrontiert werden, dass etwas unmöglich ist",,,
die ganze Welt offenbaren,die ganze Welt offenbaren,Metapher,Welt,alle Zusammenhänge erkennbar werden lassen,,,
"Die Gegenschale schlägt sie hinauf; Durst nach Unabhängigkeit und Wissen, Stolz, Wollust, Groll und Bitterkeit füllen sie. Ewigkeit und Verdammnis schallen nur dumpf in seiner Seele","Die Gegenschale schlägt sie hinauf; Durst nach Unabhängigkeit und Wissen, Stolz, Wollust, Groll und Bitterkeit füllen sie. Ewigkeit und Verdammnis schallen nur dumpf in seiner Seele",Metapher,Gegenschale,"trotz Bedenken, entscheidet er sich für eine Grenzüberschreitung",,,
die Hand im Spiel haben,die Hand im Spiel haben,Metapher,Hand,etwas beeinflussen,,,
die Herzen öffnen,die Herzen öffnen,Metapher,Herz,freundlich stimmen,,,
die Hoffnung fahren lassen,die Hoffnung fahren lassen,Metapher,fahren,aufhören zu hoffen,,,
die ödeste Wüste in das blühendste Paradies umschaffen,die ödeste Wüste in das blühendste Paradies umschaffen,Metapher,Wüste,aus etwas Fadem etwas Schönes machen,,,
die sanften Fäden planlosen Fantasierens,die sanften Fäden planlosen Fantasierens,Metapher,Fäden,positive Beschreibung der Fantasie,,,
die Spitze auf einen Gegner wenden,die Spitze auf einen Gegner wenden,Metapher,Spitze,gegen jemanden argumentieren,,,
die tiefste Einsamkeit webte um das schlafende Geheimnis,die tiefste Einsamkeit webte um das schlafende Geheimnis,Metapher,weben,etwas sehr geheim halten,,,
Die Vergangenheit umleuchtet uns als freundlicher Strahl,Die Vergangenheit umleuchtet uns als freundlicher Strahl,Metapher,umleuchtet,Die Vergangeheit war gut,,,
die Zweige eines Geschlechts gehen auseinander,die Zweige eines Geschlechts gehen auseinander,Metapher,auseinander,Teile einer Familie entwickeln sich unabhängig voneinander weiter,,,
