Id,Label,Attribut,Kernwort,Bedeutung,Autor:in,Jahr,Jahrhundert
Grenzen,Grenzen,Metapher,Grenzen,Beschränkung durch etwas Immateriellen wie z.B. moralische Ansprüche,,,
grenzenlose Freude,grenzenlose Freude,Metapher,grenzenlos,große Freude,,,
Grenzlinie,Grenzlinie,Metapher,Grenzlinie,etwas Unüberwindbares wie z.B. der Standesunterschied zwischen zwei Menschen,,,
Groß / Größe,Groß / Größe,Metapher,Groß / Größe,bedeutsam / Bedeutung,,,
Hand an etwas legen,Hand an etwas legen,Metapher,Hand,etwas beginnen,,,
harmonisch mit etwas verschmelzen,harmonisch mit etwas verschmelzen,Metapher,verschmelzen,sich an einen Zustand gut anpassen,,,
hereinbrechen,hereinbrechen,Metapher,hereinbrechen,überraschend stattfinden,,,
Hier und da etwas himmelrein aus jemandem hervorgehen sehen,Hier und da etwas himmelrein aus jemandem hervorgehen sehen,Metapher,hervorgehen,eine positive Eigenschaft an jemandem bemerken,,,
Himmel,Himmel,Metapher,Himmel,eine lenkende Kraft (wenn in Form einer Personalisierung); das Nachleben/Jenseits,,,
Himmel der Ewigkeit,Himmel der Ewigkeit,Metapher,Himmel,Positiver Ort des Nachlebens,,,
Himmelsleiter,Himmelsleiter,Metapher,Himmelsleiter,etwas Unüberwindliches,,,
hinaufschrauben,hinaufschrauben,Metapher,hinaufschrauben,sich verbessern,,,
Hinderniss der Glückseligkeit,Hinderniss der Glückseligkeit,Metapher,Hindernis,"Dinge, die einen daran hindern, glücklich zu sein",,,
Hinter Glas und Rahmen aufheben,Hinter Glas und Rahmen aufheben,Metapher,Rahmen,jemanden besonders vorsichtig behandeln,,,
hinter jemandes Rücken,hinter jemandes Rücken,Metapher,hinter,heimlich,,,
hoch / Höher,hoch / Höher,Metapher,hoch / Höher,angesehen,,,
hoch über andere erhaben sein,hoch über andere erhaben sein,Metapher,hoch,anderen überlegen sein,,,
Hölle,Hölle,Metapher,Hölle,(jenseitiger) Ort des Büßens,,,
Hörner ablaufen,Hörner ablaufen,Metapher,Hörner,erwachsen werden,,,
ich wäge die Waage der Gerechtigkeit in meiner Hand,ich wäge die Waage der Gerechtigkeit in meiner Hand,Metapher,Hand,richten,,,
"ihn über die Grenzen zu treiben, gegen die er so wild anstieß","ihn über die Grenzen zu treiben, gegen die er so wild anstieß",Metapher,Grenzen,"etwas führt dazu, dass er etwas verwirklicht, wovon er bisher nur geträumt hat",,,
"ihre Einbildung gewann einen so großen Vorsprung über ihre Vernunft, daß es dieser niemals wieder möglich war, sie einzuholen","ihre Einbildung gewann einen so großen Vorsprung über ihre Vernunft, daß es dieser niemals wieder möglich war, sie einzuholen",Metapher,Vorsprung,die Einbildungskraft übertrifft ihre Vernunft,,,
Im Buche des Lebens eingeschrieben sein,Im Buche des Lebens eingeschrieben sein,Metapher,eingeschrieben,bedeutend sein,,,
im Flug,im Flug,Metapher,Flug,sehr schnell,,,
im Heiligthume der Weiblichkeit einen Himmel bilden,im Heiligthume der Weiblichkeit einen Himmel bilden,Metapher,Himmel,als Frau in Erfüllung ihrer Ehepflichten glücklich werden,,,
im Lande der Vergänglichkeit,im Lande der Vergänglichkeit,Metapher,Lande,im sterblichen Dasein,,,
im Liebesgarne gefangen,im Liebesgarne gefangen,Metapher,Liebesgarn,verliebt sein,,,
im zwiefachen Kerker der Blindheit und Krankheit,im zwiefachen Kerker der Blindheit und Krankheit,Metapher,Kerker,blind und krank sein,,,
in abgeschlossener Welt leben,in abgeschlossener Welt leben,Metapher,Welt,einsam leben,,,
in alle vier Winde verflattern,in alle vier Winde verflattern,Metapher,Winde,die Persönlichkeit nicht zusammen halten können,,,
in das bunte Gewebe deines Schicksals eingreifen,in das bunte Gewebe deines Schicksals eingreifen,Metapher,Gewebe,etwas Unerwartetes tun,,,
in das Grab der höchsten Freude versenkt,in das Grab der höchsten Freude versenkt,Metapher,Grab,nicht mehr an etwas denken,,,
in das Räderwerk des öffentlichen Lebens eingreifen,in das Räderwerk des öffentlichen Lebens eingreifen,Metapher,Räderwerk,sich gesellschaftlich beteiligen,,,
in dem Strom gemeinen Wirkens,in dem Strom gemeinen Wirkens,Metapher,Strom,in der Alltäglichkeit,,,
"in den Banden des Schlafes liegen, die unreißbar erscheinen","in den Banden des Schlafes liegen, die unreißbar erscheinen",Metapher,Bande,sehr tief schlafen,,,
in den Grundfesten erschüttert,in den Grundfesten erschüttert,Metapher,erschüttern,alles in Frage stellend,,,
in den Hades zurückweisen,in den Hades zurückweisen,Metapher,Hades,nicht mehr an die Verstorbenen denken,,,
"in den Händen von jemandem sein, jemandem in die Hände fallen / geraten","in den Händen von jemandem sein, jemandem in die Hände fallen / geraten",Metapher,Hände,jemandem ausgeliefert sein,,,
in den Kreis der Wirklichkeit zurückführen,in den Kreis der Wirklichkeit zurückführen,Metapher,Kreis,Jemanden wieder von der Realität überzeugen ,,,
in den Schoß der heiligen Kirche gelangen,in den Schoß der heiligen Kirche gelangen,Metapher,Schoß,religiös werden,,,
in den See,in den See,Metapher,See,sich umbringen,,,
in den Vorhof der Seligkeiten gelangen lassen,in den Vorhof der Seligkeiten gelangen lassen,Metapher,Vorhof,"an einen religiösen Ort lassen, von dem aus der Eintritt ins Paradies auch für Heiden und Sünder noch möglich ist",,,
in den Wind und ins Blaue reden,in den Wind und ins Blaue reden,Metapher,Wind,reden ohne dass jemand zuhört,,,
In der eigenen Sphäre sein,In der eigenen Sphäre sein,Metapher,Sphäre,"tun, was von einem erwartet wird",,,
in der Gegenwart von jemandem schweben,in der Gegenwart von jemandem schweben,Metapher,schweben,sich bei jemandem sehr wohl fühlen,,,
in der Hölle sein,in der Hölle sein,Metapher,Hölle,sich schlecht fühlen,,,
In die Flucht geschlagen sein,In die Flucht geschlagen sein,Metapher,Flucht,verlieren,,,
in die Hand Gottes fallen,in die Hand Gottes fallen,Metapher,Hand,sich dem Ungewissen überlassen,,,
in die Hände spielen,in die Hände spielen,Metapher,Hände,etwas oder jemanden unterstützen,,,
in die Hände von jemandem legen,in die Hände von jemandem legen,Metapher,Hände,jemandem etwas anvertrauen,,,
"In dieser Schale tanzen leicht Religion und ihre Stütze, die Furcht vor der Zukunft.","In dieser Schale tanzen leicht Religion und ihre Stütze, die Furcht vor der Zukunft.",Metapher,tanzen,Religion und Zukunftsangst halten ihn noch zurück,,,
in ein schöneres Dasein übergehen,in ein schöneres Dasein übergehen,Metapher,übergehen,Ausdruck einer positiven Jenseitsvorstellung,,,
in einem Labyrinth herumirren,in einem Labyrinth herumirren,Metapher,Labyrinth,über etwas nachdenken,,,
in einem Meer von Liebe und Entzücken schwimmen,in einem Meer von Liebe und Entzücken schwimmen,Metapher,Meer,sehr entzückt sein,,,
in einen Wirbel von Vergnügungen gerissen,in einen Wirbel von Vergnügungen gerissen,Metapher,Wirbel,von etwas begeistert werden,,,
in etwas untergehen ,in etwas untergehen ,Metapher,untergehen,von etwas vereinnahmt werden,,,
in etwas vergraben sein,in etwas vergraben sein,Metapher,vergraben,sehr konzentriert auf etwas sein,,,
in etwas verwickelt sein,in etwas verwickelt sein,Metapher,verwickelt,an etwas teilhaben,,,
in guten Händen sein,in guten Händen sein,Metapher,Hände,es gut haben,,,
in hohe Posten geschwungen,in hohe Posten geschwungen,Metapher,Posten,beruflich viel erreicht,,,
ins Freie in die frische Luft bringen,ins Freie in die frische Luft bringen,Metapher,Freie,in angenehme Stimmung zurückversetzen,,,
Ins Leben hinein wandeln,Ins Leben hinein wandeln,Metapher,wandeln,leben,,,
ins tiefste Elend stürzen,ins tiefste Elend stürzen,Metapher,stürzen,unglücklich machen,,,
Jammerthal,Jammerthal,Metapher,Jammerthal,schlimmer Zustand,,,
"je heftiger sich die schlummernden Kräfte aufgerafft hatten, desto müder sanken sie hin, und die unbefriedigte Natur kehrte zu verdoppeltem Schmerze zurück","je heftiger sich die schlummernden Kräfte aufgerafft hatten, desto müder sanken sie hin, und die unbefriedigte Natur kehrte zu verdoppeltem Schmerze zurück",Metapher,,Beschreibung eines Zustandes zunehmender Handlungsunfähigkeit,,,
jeder Tag zeigt ein Gesicht,jeder Tag zeigt ein Gesicht,Metapher,Gesicht,jeder Tag ist besonders,,,
jemand steht jemand anderem vor der Seele,jemand steht jemand anderem vor der Seele,Metapher,stehen,"sich jemandem nahe fühlen, der nicht da ist",,,
jemandem (einen) Spiegel vorhalten,jemandem (einen) Spiegel vorhalten,Metapher,,"jemandem zeige, wie er ist",,,
jemandem an die Hand gehen,jemandem an die Hand gehen,Metapher,Hand,jemandem etwas aufdrängen,,,
jemandem auf die Schulter klopfen,jemandem auf die Schulter klopfen,Metapher,Schulter,jemanden loben,,,
Jemandem das Wort aus dem Munde nehmen,Jemandem das Wort aus dem Munde nehmen,Metapher,Wort,statt jemand anderem reden,,,
jemandem die blinden Augen öffnen,jemandem die blinden Augen öffnen,Metapher,Augen,jemandem etwas sagen,,,
jemandem ein Herz geben,jemandem ein Herz geben,Metapher,Herz ,jemanden empfindsam machen,,,
jemandem einen Blick in die dunkeln Regionen seines Daseins gewähren,jemandem einen Blick in die dunkeln Regionen seines Daseins gewähren,Metapher,Blick,jemandem ein Geheimnis erzählen,,,
jemandem in den Weg treten,jemandem in den Weg treten,Metapher,Weg,jemandem wiedersprechen,,,
Jemandem oder etwas im Wege stehen,Jemandem oder etwas im Wege stehen,Metapher,Weg,etwas verhindern,,,
jemandem unter die Arme greifen,jemandem unter die Arme greifen,Metapher,greifen,jemandem helfen,,,
jemandem unter die Augen treten,jemandem unter die Augen treten,Metapher,Augen,jemanden sehen,,,
"jemanden aus einem Strudel reißen, in welchem er unter zu sinken droht","jemanden aus einem Strudel reißen, in welchem er unter zu sinken droht",Metapher,Strudel,jemandem helfen,,,
jemanden in den Dreck fahren,jemanden in den Dreck fahren,Metapher,Dreck,jemanden negativ beeinflussen,,,
jemanden in Fetzen reißen,jemanden in Fetzen reißen,Metapher,Fetzen,jemanden strafen,,,
jemanden in Staub treten,jemanden in Staub treten,Metapher,Staub,jemanden demütigen,,,
jemanden ins Gespräch ziehen,jemanden ins Gespräch ziehen,Metapher,ziehen,jemanden am Gespräch beteiligen,,,
Jemanden mit etwas überhäufen,Jemanden mit etwas überhäufen,Metapher,überhäufen,jemandem sehr viel von etwas geben,,,
jemanden stürzen,jemanden stürzen,Metapher,stürzen,einen Herrscher entmachten,,,
jemandes Züge stehlen,jemandes Züge stehlen,Metapher,stehlen,das Aussehen erinnern,,,
Jenseits,Jenseits,Metapher,Jenseits,Ort des Lebens nach dem Tod,,,
Katze im Sack,Katze im Sack,Metapher,Sack,etwas Unbekanntes,,,
kein Arkadien aufwachsen,kein Arkadien aufwachsen,Metapher,Arkadien,nicht glücklich werden,,,
keine Rückschritte führen zum Ziele,keine Rückschritte führen zum Ziele,Metapher,Ziele,man soll nicht dem Zweck zuwider handeln,,,
klein,klein,Metapher,klein,unbedeutend,,,
kleiner Seitengang,kleiner Seitengang,Metapher,Seitengang,ehelicher Betrug,,,
kleines Hindernis,kleines Hindernis,Metapher,Hindernis,"etwas, das ein Ereignis verhindert oder erschwert",,,
Kreis,Kreis,Metapher,Kreis,Kreis seiner gecshäfte,,,
Kreuzzug über Land unternommen,Kreuzzug über Land unternommen,Metapher,Kreuzzug,einen Streit geführt,,,
lange Beine machen,lange Beine machen,Metapher,Beine,weglaufen,,,
Lebensweg,Lebensweg,Metapher,Lebensweg,Reihe von Lebensentscheidungen,,,
Leib des Herrn,Leib des Herrn,Metapher,Leib,Brot beim Abendmahl,,,
Leidenschaften begegnen sich,Leidenschaften begegnen sich,Metapher,begegnen,Menschen mit unterschieldicher Begeisterung treffen aufeinander,,,
Licht in die Finsternis bringen,Licht in die Finsternis bringen,Metapher,Finsternis,etwas erklären,,,
Lustgarten,Lustgarten,Metapher,Lustgarten,"besonders schöner, müßiger Ort",,,
Mauern,Mauern,Metapher,Mauern,Beschränkung durch etwas Immateriellen wie z.B. moralische Ansprüche,,,
mich selbst an das Geliebte verlieren,mich selbst an das Geliebte verlieren,Metapher,verlieren,sich selbst für etwas Geliebtes aufgeben,,,
Mit dem Blick der Sehnsucht auf etwas zurück schauen,Mit dem Blick der Sehnsucht auf etwas zurück schauen,Metapher,zurückschauen,sich positiv erinnern,,,
mit dem Schrecken davon kommen,mit dem Schrecken davon kommen,Metapher,davonkommen,ungestraft bleiben,,,
mit den Trümmern seiner Herrlichkeit spielen,mit den Trümmern seiner Herrlichkeit spielen,Metapher,Trümmer,die Besitztümer eines Toten bewundernd an sich nehmen,,,
"mit einem schwarzen, gähnenden Schlund in der Mitte","mit einem schwarzen, gähnenden Schlund in der Mitte",Metapher,Schlund,ohne den Familienvater,,,
mit eisernem Arm regieren,mit eisernem Arm regieren,Metapher,eisern,sehr streng sein,,,
mit sich selbst im Kriege,mit sich selbst im Kriege,Metapher,Kriege,unglücklich sein,,,
Mutter Natur,Mutter Natur,Metapher,Natur,eine lenkende Kraft,,,
Nass bis auf die Knochen sein,Nass bis auf die Knochen sein,Metapher,Knochen,sehr nass sein,,,
nie still stehen,nie still stehen,Metapher,stillstehen,immer mehr wollen,,,
Niederdrücken mit seiner Hoheit,Niederdrücken mit seiner Hoheit,Metapher,niederdrücken,einschüchtern,,,
Nur Stürme reinigen die Luft,Nur Stürme reinigen die Luft,Metapher,Luft,Konflikte sind heilsam,,,
Ober-/Unterwelt,Ober-/Unterwelt,Metapher,Ober-/Unterwelt,Jenseits in positiver und negativer Ausprägung,,,
Paradies,Paradies,Metapher,Paradies,Zustand von Glückseligkeit,,,
Perlen in der Tasche haben,Perlen in der Tasche haben,Metapher,Tasche,"gute, aber versteckte Eigenschaften haben",,,
Pfad des Glücks,Pfad des Glücks,Metapher,Pfad,"Reihe von Entscheidungen, die zum Glück führt",,,
Purzelbäume schlagen,Purzelbäume schlagen,Metapher,Purzelbaum,Quatsch machen,,,
Quelle,Quelle,Metapher,Quelle,Ursprung,,,
querfeldein galloppieren,querfeldein galloppieren,Metapher,querfeldein,anders denken,,,
Regeln über den Haufen werfen,Regeln über den Haufen werfen,Metapher,werfen,eigene Regeln nicht beachten,,,
Reich Gottes,Reich Gottes,Metapher,Reich,Positiver Weltzustand,,,
Revier,Revier,Metapher,Revier,"etwas, in dem man sich wohl / kompetent fühlt",,,
Richtung,Richtung,Metapher,Richtung,Entwicklung,,,
Ringmauern des Gebrauchs,Ringmauern des Gebrauchs,Metapher,Ringmauern,als bedrückend empfundene Alltäglichkeit,,,
"Rücksichten sind die Geleise, in welchen der Wagen der Gesellschaft ruhig und sicher fährt, ohne mit andern zusammen zu stoßen, zu zertrümmern und zertrümmert zu werden.","Rücksichten sind die Geleise, in welchen der Wagen der Gesellschaft ruhig und sicher fährt, ohne mit andern zusammen zu stoßen, zu zertrümmern und zertrümmert zu werden.",Metapher,Geleise,"wenn alle Rücksicht nehmen, funktioniert die Gesellschaft",,,
Ruine seiner selbst,Ruine seiner selbst,Metapher,Ruine,sich selbst nicht mehr ähnlich,,,
Schlingen legen,Schlingen legen,Metapher,Schlingen,Intrigen gegen jemanden führen,,,
Schon zeigten sich Lücken im Gewölke. Das flog nun selbst wie eine endlose Folge dunkler Regenschirme in den Händen eilender Riesen am Himmel dahin.,Schon zeigten sich Lücken im Gewölke. Das flog nun selbst wie eine endlose Folge dunkler Regenschirme in den Händen eilender Riesen am Himmel dahin.,Metapher,dahinfliegen,die Wolken verziehen sich,,,
sein Leben hängt an meinem Spiele,sein Leben hängt an meinem Spiele,Metapher,hängen,er ist von mir abhängig,,,
seinen Weg gehen,seinen Weg gehen,Metapher,Weg,"tun, was man selbst für richtig hält",,,
sich anderer Wege bedienen,sich anderer Wege bedienen,Metapher,Wege,etwas anderes tun,,,
sich aus dem Staub machen,sich aus dem Staub machen,Metapher,Staub,gehen,,,
sich aus Schlingen retten,sich aus Schlingen retten,Metapher,Schlingen,Intrigen unbeschadet überstehen,,,
sich etwas / jemanden aus dem Kopf schlagen,sich etwas / jemanden aus dem Kopf schlagen,Metapher,Kopf,etwas / jemanden vergessen,,,
sich etwas auf den Hals ziehen,sich etwas auf den Hals ziehen,Metapher,Hals,sich etwas aufbürden,,,
sich in die dunklen Gefilde der Magie werfen,sich in die dunklen Gefilde der Magie werfen,Metapher,Gefilde,sich mit Magie beschäftigen,,,
sich in die Gefahr stürzen,sich in die Gefahr stürzen,Metapher,Gefahr,etwas Gefährliches tun,,,
sich in etwas versenken,sich in etwas versenken,Metapher,versenken,sehr konzentriert auf etwas sein,,,
sich in seine Bücher vergraben,sich in seine Bücher vergraben,Metapher,vergraben,sehr konzentriert lesen,,,
"Sich so nehmen, wie man sich findet","Sich so nehmen, wie man sich findet",Metapher,nehmen,Akzeptieren wie man ist ohne ständig auf Verbesserung zu drängen,,,
"sich über die Schranken erheben, welche Alltagsmeinungen etwas setzen (z.B. dem weiblichen Geschlecht)","sich über die Schranken erheben, welche Alltagsmeinungen etwas setzen (z.B. dem weiblichen Geschlecht)",Metapher,Schranken,sich nicht an gängige Moralvorstellungen halten,,,
sich um jemanden reißen,sich um jemanden reißen,Metapher,reißen,"viel dafür tun, bei jemandem zu sein",,,
sich verlieren,sich verlieren,Metapher,verlieren,"das Gefühl haben, nicht mehr man selbst zu sein",,,
sich von keinem an die Nasenspitze fassen lassen,sich von keinem an die Nasenspitze fassen lassen,Metapher,Nasenspitze,sich nicht von anderen beeinflussen lassen,,,
sich wegwerfen,sich wegwerfen,Metapher,wegwerfen,sich selbst aufgeben,,,
"so kann vielleicht der Saamen der Weisheit bey ihm zur Reife gelangen, und bey einem andern Volke Früchte tragen","so kann vielleicht der Saamen der Weisheit bey ihm zur Reife gelangen, und bey einem andern Volke Früchte tragen",Metapher,Samen,so kann er seine Weisheit weitergeben,,,
so traten die Großen der Hölle aus den Gemächern des Satans,so traten die Großen der Hölle aus den Gemächern des Satans,Metapher,Gemächer,böse Mächte wirken,,,
"so verlor er bald den Pfad des Glücks, auf den nur Beschränktheit den Sterblichen zu führen scheint und auf welchem ihn nur Bescheidenheit erhält","so verlor er bald den Pfad des Glücks, auf den nur Beschränktheit den Sterblichen zu führen scheint und auf welchem ihn nur Bescheidenheit erhält",Metapher,Pfad,Er wurde unglücklich,,,
so weit mich mein Gedächtnis zurückträgt,so weit mich mein Gedächtnis zurückträgt,Metapher,zurücktragen,so lang ich mich zurück erinnern kann,,,
Spähre,Spähre,Metapher,Spähre,die Sphäre ihrer Ansprüche,,,
St Petri Felsen beginnt zu wanken,St Petri Felsen beginnt zu wanken,Metapher,wanken,die Macht der Kirche schwindet,,,
"Straßen pflegen ist ganz schön, Bahn brechen ist schöner","Straßen pflegen ist ganz schön, Bahn brechen ist schöner",Metapher,Bahn,es ist besser etwas Neues auszuprobieren als sich anzupassen,,,
Strom des vollen jugendlichen Lebens künstlich zurückstauen,Strom des vollen jugendlichen Lebens künstlich zurückstauen,Metapher,Strom,Die Energie eines jungen Menschen dämpfen,,,
Stufen geselliger Verhältnisse,Stufen geselliger Verhältnisse,Metapher,Stufen,typische Reihenfolge von Stellen innerhalb einer Karriere,,,
tief drunten sein,tief drunten sein,Metapher,drunten,sich schlecht fühlen,,,
tief gehen,tief gehen,Metapher,tief,stark berühren,,,
tief herabsinken,tief herabsinken,Metapher,herabsinken,gesellschaftlich absteigen,,,
tief unter etwas stehen,tief unter etwas stehen,Metapher,unter,weniger würdig sein als etwas oder jemand anderes,,,
tiefer in die Dornen der Wiedersprüche geraten,tiefer in die Dornen der Wiedersprüche geraten,Metapher,Dornen,unlogisch denken und handeln,,,
"Tore zu Reichtum, Ruhm und Genuß aufsprengen","Tore zu Reichtum, Ruhm und Genuß aufsprengen",Metapher,aufsprengen,"Reichtum, Ruhn und Genuss erlangen",,,
Trümmer aus beßrer Zeit,Trümmer aus beßrer Zeit,Metapher,Trümmer,gute Erinnerungen,,,
Trümmer ehemals gemachter Gedanken zusammenlesen,Trümmer ehemals gemachter Gedanken zusammenlesen,Metapher,Trümmer,versuchen wieder klare Gedanken fassen zu können,,,
über Basilisken brüten,über Basilisken brüten,Metapher,brüten,sich mit Fantasien beschäftigen,,,
über dem Kopf zusammenbrechen / zusammenstürzen,über dem Kopf zusammenbrechen / zusammenstürzen,Metapher,Kopf,überfrordern,,,
über die Grenzen (von etwas Immateriellem) treiben,über die Grenzen (von etwas Immateriellem) treiben,Metapher,Grenzen,etwas anders betreiben als üblich,,,
über etwas hinweg bringen,über etwas hinweg bringen,Metapher,hinweg,etwas verarbeiten,,,
überall ragt ihm das stolze Selbst eines Andern hochmüthig entgegen,überall ragt ihm das stolze Selbst eines Andern hochmüthig entgegen,Metapher,entgegenragen,überall begegnet er hochmütigen Menschen,,,
um den Finger wickeln,um den Finger wickeln,Metapher,Finger,"jemanden dazu bringen, etwas für einen zu tun",,,
um jemandes Hand anhalten,um jemandes Hand anhalten,Metapher,Hand,einen Heiratsantrag machen,,,
Umfangen,Umfangen,Metapher,Umfangen,ein angenehmes Gefühl geben,,,
und das Morgenlicht der Jugend überzog von neuem alle Gegenstände mit seinem rosafarbenen Schimmer,und das Morgenlicht der Jugend überzog von neuem alle Gegenstände mit seinem rosafarbenen Schimmer,Metapher,überziehen,beschrieben wird wie eine jugendliche Kraft im Protagonisten aufsteigt,,,
Und die zarten goldenen Wölkchen im Äther lächelten herunter,Und die zarten goldenen Wölkchen im Äther lächelten herunter,Metapher,Wolken,Beschrieben wird ein friedvoller Zustand,,,
Unser Geist gleitet so leicht aus seiner Bahn,Unser Geist gleitet so leicht aus seiner Bahn,Metapher,,Beschreibung eines instabilen Charakterzustandes,,,
unter den Fingern zerinnen,unter den Fingern zerinnen,Metapher,zerinnen,schnell vergehen,,,
unter die schöne Melusine herabsinken,unter die schöne Melusine herabsinken,Metapher,herabsinken,sehr seicht sein,,,
untergehen,untergehen,Metapher,untergehen,sehr unzufrieden mit etwas sein,,,
Untergehen,Untergehen,Metapher,Untergehen,Verschwinden,,,
Ursprung und Zweck der That fallen zusammen,Ursprung und Zweck der That fallen zusammen,Metapher,zusammenfallen,Ursache und Ziel von etwas sind gleich,,,
Verborgenen Edelstein finden,Verborgenen Edelstein finden,Metapher,Edelstein,unerwartet eine positive Eigenschaft finden,,,
Verloren in Gram,Verloren in Gram,Metapher,verloren,Einen gramvollen Zustand nicht beenden können,,,
verloren sein,verloren sein,Metapher,verloren sein,keinen Ausweg mehr haben,,,
"verschlungen in die Unermeßlichkeit des Weltalls, verschmolzen in die allgemeine Harmonie der Wesen, fühlte ich mich selbst in dieser Größe untergehen","verschlungen in die Unermeßlichkeit des Weltalls, verschmolzen in die allgemeine Harmonie der Wesen, fühlte ich mich selbst in dieser Größe untergehen",Metapher,verschmilzen,von etwas überwältigt sein,,,
von der Seitenlinie,von der Seitenlinie,Metapher,Seitenlinie,entfernt verwandt,,,
von einem Gefühl verschlungen werden,von einem Gefühl verschlungen werden,Metapher,verschlungen,von einem Gefühl verschlungen werden,,,
von Haus aus,von Haus aus,Metapher,Haus,von vornherein,,,
von jemandem gefesselt werden,von jemandem gefesselt werden,Metapher,gefesselt,begeistert von jemandem sein,,,
von Leiden gedrückt,von Leiden gedrückt,Metapher,gedrückt,stark leiden,,,
von mütterlicher Seite,von mütterlicher Seite,Metapher,Seite,Aus der Familie der Mutter,,,
vor dem Herrn,vor dem Herrn,Metapher,vor,im Vergleich zu anderen,,,
vor den Kopf geschlagen sein,vor den Kopf geschlagen sein,Metapher,geschlagen,überrascht sein,,,
vor der Hand,vor der Hand,Metapher,Hand,vorher,,,
vorschweben,vorschweben,Metapher,vorschweben,vorstellen,,,
vorwärts dringen,vorwärts dringen,Metapher,vorwärts,mehr erfahren,,,
wachsen,wachsen,Metapher,wachsen,sich verbessern,,,
"warf er sich in die dunklen Gefilde der Magie und hoffte nun der Natur gewaltsam abzuzwingen, was sie uns so eigensinnig verbirgt","warf er sich in die dunklen Gefilde der Magie und hoffte nun der Natur gewaltsam abzuzwingen, was sie uns so eigensinnig verbirgt",Metapher,Gefilde,Er beschäftigte sich mit Magie,,,
Weg,Weg,Metapher,Weg,Reihe von Entscheidungen,,,
Weg einschlagen,Weg einschlagen,Metapher,Weg,"sich auf bestimmte Weise verhalten, ein bestimmtes Ziel verfolgen",,,
Wegweiser aufrichten,Wegweiser aufrichten,Metapher,Wegweiser,eine Lehre mitgeben,,,
weit bringen,weit bringen,Metapher,weit,Karriere machen,,,
weit von etwas entfernt sein,weit von etwas entfernt sein,Metapher,entfernt,etwas nicht wollen,,,
weitläufiger Dank,weitläufiger Dank,Metapher,weitläufig,großer Dank,,,
"Welch ein Glück wäre es für die zu der Tafel der Teufel bestimmten Seelen, wenn sie dadurch das Ende ihrer Qual fänden; da sie diese aber stückweise in die Sümpfe der Hölle ausschütten, so wachsen sie wieder zusammen und stehen zu neuen Martern auf.","Welch ein Glück wäre es für die zu der Tafel der Teufel bestimmten Seelen, wenn sie dadurch das Ende ihrer Qual fänden; da sie diese aber stückweise in die Sümpfe der Hölle ausschütten, so wachsen sie wieder zusammen und stehen zu neuen Martern auf.",Metapher,Hölle,Gezeichnet wird ein Bild der Hölle als konkreter Jenseitsvorstellung,,,
Welt,Welt,Metapher,Welt,etwas Umfassendes,,,
Welten des Himmels,Welten des Himmels,Metapher,Himmel,etwas Schönes,,,
Wenn kömmt das große Wiedersehen der Geister?,Wenn kömmt das große Wiedersehen der Geister?,Metapher,Wiedersehen,Ausdruck der Sehnsucht nach Verstorbenen,,,
Wesen und Taten zweier Menschen schlingen sich zu einem uauflöslichen Gewebe ineinander,Wesen und Taten zweier Menschen schlingen sich zu einem uauflöslichen Gewebe ineinander,Metapher,schlingen,zwei Menschen stehen einander sehr nahe,,,
Wie auf einem verheerten Paradies schwebte das Bild der schönen Fremden einsam über den Trümmern meiner vollendetsten Schöpfungen,Wie auf einem verheerten Paradies schwebte das Bild der schönen Fremden einsam über den Trümmern meiner vollendetsten Schöpfungen,Metapher,schweben,Der Protagonist denkt an die schöne Fremde,,,
wie aus einem Guß geformt,wie aus einem Guß geformt,Metapher,Guß,ad hoc perfekt sein,,,
wie aus Erz gegossen,wie aus Erz gegossen,Metapher,Erz,sehr standfest,,,
wie aus geheimnisvollen Tiefen heraufblicken,wie aus geheimnisvollen Tiefen heraufblicken,Metapher,Tiefen,geheimnisvoll aussehende Augen haben,,,
wie aus Kartenblättern geschnitten,wie aus Kartenblättern geschnitten,Metapher,Kartenblätter,unecht aussehend,,,
wie ein Federball im Wurfe talab gesendet lustig hüpft,wie ein Federball im Wurfe talab gesendet lustig hüpft,Metapher,Federball,Beschreibung der Bewegung einer Figur,,,
"wie ein friedlich Arkadien, wo Blüte und Saat in ewig stiller Luft sich wiegt, wo ohne des Mittags Schwüle die Ernte reift, und die süße Traube gedeiht, wo keine Furcht das sichere Land umzäunt, wo man von nichts weiß, als von dem ewigen Frühling der Erde, und dem wolkenlosen Himmel und seiner Sonne, und seinen freundlichen Gestirnen, so stehet es offen da vor mir, das Heiligtum ihres Herzens und Geistes.","wie ein friedlich Arkadien, wo Blüte und Saat in ewig stiller Luft sich wiegt, wo ohne des Mittags Schwüle die Ernte reift, und die süße Traube gedeiht, wo keine Furcht das sichere Land umzäunt, wo man von nichts weiß, als von dem ewigen Frühling der Erde, und dem wolkenlosen Himmel und seiner Sonne, und seinen freundlichen Gestirnen, so stehet es offen da vor mir, das Heiligtum ihres Herzens und Geistes.",Metapher,Arkadien,Ein friedvoller Zustand wird in Form eines Raumbildes beschrieben,,,
wie ein Stein auf den Kopf gefallen,wie ein Stein auf den Kopf gefallen,Metapher,Stein,Beschreibung wie ein Brief eine Figur erreichte,,,
wie in einem Hexenkessel um sie her brodelte und brandete,wie in einem Hexenkessel um sie her brodelte und brandete,Metapher,Hexenkessel,Beschreibung einer Großstadt,,,
