Ursprung,Ziel,Typ
"Sich so nehmen, wie man sich findet",Lebensläufe nach aufsteigender Linie,Ungerichtet
Jemandem das Wort aus dem Munde nehmen,Lebensläufe nach aufsteigender Linie,Ungerichtet
Eine Sündflut mit dem Tintenfaß machen,Lebensläufe nach aufsteigender Linie,Ungerichtet
Eine Stufe überschreiten,Lebensläufe nach aufsteigender Linie,Ungerichtet
Etwas auf dem Herzen haben,Lebensläufe nach aufsteigender Linie,Ungerichtet
Das Feld behalten,Lebensläufe nach aufsteigender Linie,Ungerichtet
In die Flucht geschlagen sein,Lebensläufe nach aufsteigender Linie,Ungerichtet
"Befestigen, was man erobert hat",Lebensläufe nach aufsteigender Linie,Ungerichtet
denen mein Herz und meine Seele auf dem halben Weg entgegen kamen,Lebensläufe nach aufsteigender Linie,Ungerichtet
Im Buche des Lebens eingeschrieben sein,Lebensläufe nach aufsteigender Linie,Ungerichtet
ein Langes und ein Breites,Lebensläufe nach aufsteigender Linie,Ungerichtet
Reich Gottes,Lebensläufe in aufsteigender Linie,Ungerichtet
"in den Händen von jemandem sein, jemandem in die Hände fallen / geraten",Lebensläufe in aufsteigender Linie,Ungerichtet
etw. Berg ab erzählen,Lebensläufe nach aufsteigender Linie,Ungerichtet
bei seiner Wiege,Lebensläufe nach aufsteigender Linie,Ungerichtet
"Daumen-, Zeige- und Mittelfinger eines Werkes",Lebensläufe nach aufsteigender Linie,Ungerichtet
außerhalb der eigenen Grenzen,Lebensläufe nach aufsteigender Linie,Ungerichtet
Wegweiser aufrichten,Lebensläufe nach aufsteigender Linie,Ungerichtet
jemandem an die Hand gehen,Lebensläufe nach aufsteigender Linie,Ungerichtet
Hand an etwas legen,Lebensläufe nach aufsteigender Linie,Ungerichtet
in die Hand Gottes fallen,Lebensläufe nach aufsteigender Linie,Ungerichtet
beide Glaubenshände zureichen,Lebensläufe nach aufsteigender Linie,Ungerichtet
Kreuzzug über Land unternommen,Lebensläufe nach aufsteigender Linie,Ungerichtet
ins Freie in die frische Luft bringen,Lebensläufe nach aufsteigender Linie,Ungerichtet
von mütterlicher Seite,Lebensläufe nach aufsteigender Linie,Ungerichtet
von der Seitenlinie,Lebensläufe nach aufsteigender Linie,Ungerichtet
jemanden stürzen,Usong,Ungerichtet
sich in die dunklen Gefilde der Magie werfen,Usong,Ungerichtet
Jemanden mit etwas überhäufen,Kakerlak,Ungerichtet
etwas mit Füßen treten,Kakerlak,Ungerichtet
die Hand im Spiel haben,Kakerlak,Ungerichtet
Weg einschlagen,Kakerlak,Ungerichtet
wie aus Kartenblättern geschnitten,Kakerlak,Ungerichtet
etwas zu Boden wiegen,Kakerlak,Ungerichtet
Pfad des Glücks,Kakerlak,Ungerichtet
