Autor*in,Titel,Datum,Quelle
"Liliencron, Detlev von",Leben und Lüge,1900,TextGrid Repository
"Dunker, Dora",Großstadt,1900,TextGrid Repository
"Scheerbart, Paul",Liwuna und Kaidoh,1901,TextGrid Repository
"Dohm, Hedwig",Christa Ruhland,1902,TextGrid Repository
"Scheerbart, Paul",Immer Mutig,1902,TextGrid Repository
"May, Karl",Im Reich des silbernen Löwen III,1902,TextGrid Repository
"Frapan, Ilse",Arbeit,1903,TextGrid Repository
"Keyserling, Eduard",Beate und Mareile,1903,TextGrid Repository
"Thoma, Ludwig",Andreas Vöst,1906,TextGrid Repository
"Wassermann, Jakob ",Caspar Hauser oder Die Trägheit des Herzens,1908,Projekt Gutenberg
"Meisel-Hess, Grete",Die Intellektuellen,1911,TextGrid Repository
"Reventlow, Franziska Gräfin zu",Herrn Dames Aufzeichnungen,1913,TextGrid Repository
"Fock, Gorch",Seefahrt ist Not!,1913,TextGrid Repository
"Ball, Hugo",Flammetti,1918,TextGrid Repository
"Suttner, Bertha von",Martha's Kinder,1920,TextGrid Repository
Klabund,Borgia,1928,TextGrid Repository
"Döblin, Alfred",Berlin Alexanderplatz,1929,eigener Scan
"Hessel, Franz",Heimliches Berlin,1929,Projekt Gutenberg
"Timm, Uwe",Heißer Sommer,1974,eigener Scan
"Timm, Uwe",Der Schlangenbaum,1986,eigener Scan
