Autor*in,Titel,Datum,Quelle
Erfmeyer,Todeserklärung,2007,ebook gekauft
"Alstädt, Eva",Grablichter,2008,ebook gekauft
"Hunold-Reime, Sigrid",Schattenmorellen,2009,ebook gekauft
"Zeh, Juli",Corpus Delicti,2009,ebook gekauft
"Klausner, Uwe",Die Bräute des Satans,2011,ebook gekauft
"Rademacher, Cay",Der Trümmermörder,2011,ebook gekauft
"Gibert, Matthias",Zeitbombe,2011,ebook gekauft
"Timm, Uwe",Freitisch,2011,eigener Scan
"Hanekamp, Tino",So was von da,2011,vom Verlag bereit gestellt
"Meixner, Schulamit",ohne Grund,2012,ebook gekauft
"Waberer, Keto von",Mingus,2012,ebook gekauft
"Kehlmann, Daniel",F,2013,ebook gekauft
"Timm, Uwe",Vogelweide,2013,eigener Scan
"Kling, Marc-Uwe",Die Känguru Chroniken Teil 3,2014,ebook gekauft
"Bekker, Afred",Alienjäger,2015,ebook gekauft
"Wekwerth, Rainer",Der schwarze Regen,2015,ebook gekauft
"Sielaff, Christian",Das Versprechen,2016,ebook gekauft
"Zeh, Juli",leere Herzen,2017,ebook gekauft
"Hannig, Theresa",Die Optimierer,2017,ebook gekauft
"Eschbach, Andreas",Submarin,2017,ebook gekauft
